Category	Function	PName	PClass
Human Diseases	Cancers: Specific types	Bladder cancer	Other
Human Diseases	Cancers: Specific types	Prostate cancer	Other
Human Diseases	Cancers: Specific types	Endometrial cancer	Other
Human Diseases	Cancers: Specific types	Small cell lung cancer	Other
Human Diseases	Cancers: Specific types	Non-small cell lung cancer	Other
Human Diseases	Immune diseases	Asthma	Other
Human Diseases	Immune diseases	Systemic lupus erythematosus	Other
Human Diseases	Immune diseases	Rheumatoid arthritis	Other
Human Diseases	Immune diseases	Autoimmune thyroid disease	Other
Human Diseases	Immune diseases	Inflammatory bowel disease (IBD)	Other
Human Diseases	Immune diseases	Allograft rejection	Other
Human Diseases	Immune diseases	Graft-versus-host disease	Other
Human Diseases	Immune diseases	Primary immunodeficiency	Other
Human Diseases	Neurodegenerative diseases	Alzheimer's disease	Other
Human Diseases	Neurodegenerative diseases	Parkinson's disease	Other
Human Diseases	Neurodegenerative diseases	Amyotrophic lateral sclerosis (ALS)	Other
Human Diseases	Neurodegenerative diseases	Huntington's disease	Other
Human Diseases	Neurodegenerative diseases	Prion diseases	Other
Human Diseases	Substance dependence	Cocaine addiction	Other
Human Diseases	Substance dependence	Amphetamine addiction	Other
Human Diseases	Substance dependence	Morphine addiction	Other
Human Diseases	Substance dependence	Nicotine addiction	Other
Human Diseases	Substance dependence	Alcoholism	Other
Human Diseases	Cardiovascular diseases	Hypertrophic cardiomyopathy (HCM)	Other
Human Diseases	Cardiovascular diseases	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Other
Human Diseases	Cardiovascular diseases	Dilated cardiomyopathy	Other
Human Diseases	Cardiovascular diseases	Viral myocarditis	Other
Human Diseases	Endocrine and metabolic diseases	Type II diabetes mellitus	Other
Human Diseases	Endocrine and metabolic diseases	Type I diabetes mellitus	Other
Human Diseases	Endocrine and metabolic diseases	Maturity onset diabetes of the young	Other
Human Diseases	Endocrine and metabolic diseases	Non-alcoholic fatty liver disease (NAFLD)	Other
Human Diseases	Endocrine and metabolic diseases	Insulin resistance	Other
Human Diseases	Infectious diseases: Bacterial	Vibrio cholerae infection	Other
Human Diseases	Infectious diseases: Bacterial	Vibrio cholerae pathogenic cycle	Other
Human Diseases	Infectious diseases: Bacterial	Epithelial cell signaling in Helicobacter pylori infection	Other
Human Diseases	Infectious diseases: Bacterial	Pathogenic Escherichia coli infection	Other
Human Diseases	Infectious diseases: Bacterial	Salmonella infection	Other
Human Diseases	Infectious diseases: Bacterial	Shigellosis	Other
Human Diseases	Infectious diseases: Bacterial	Pertussis	Other
Human Diseases	Infectious diseases: Bacterial	Legionellosis	Other
Human Diseases	Infectious diseases: Bacterial	Staphylococcus aureus infection	Other
Human Diseases	Infectious diseases: Bacterial	Tuberculosis	Other
Human Diseases	Infectious diseases: Bacterial	Bacterial invasion of epithelial cells	Other
Human Diseases	Infectious diseases: Viral	HTLV-I infection	Other
Human Diseases	Infectious diseases: Viral	Measles	Other
Human Diseases	Infectious diseases: Viral	Influenza A	Other
Human Diseases	Infectious diseases: Viral	Hepatitis B	Other
Human Diseases	Infectious diseases: Viral	Hepatitis C	Other
Human Diseases	Infectious diseases: Viral	Herpes simplex infection	Other
Human Diseases	Infectious diseases: Viral	Epstein-Barr virus infection	Other
Human Diseases	Infectious diseases: Parasitic	Amoebiasis	Other
Human Diseases	Infectious diseases: Parasitic	Malaria	Other
Human Diseases	Infectious diseases: Parasitic	Toxoplasmosis	Other
Human Diseases	Infectious diseases: Parasitic	Leishmaniasis	Other
Human Diseases	Infectious diseases: Parasitic	Chagas disease (American trypanosomiasis)	Other
Human Diseases	Infectious diseases: Parasitic	African trypanosomiasis	Other
Human Diseases	Drug resistance	beta-Lactam resistance	Drug resistance
Human Diseases	Drug resistance	Vancomycin resistance	Drug resistance
Human Diseases	Drug resistance	Cationic antimicrobial peptide (CAMP) resistance	Drug resistance
Drug Development	Chronology: Antiinfectives	Penicillins	Other
Drug Development	Chronology: Antiinfectives	Cephalosporins - parenteral agents	Other
Drug Development	Chronology: Antiinfectives	Cephalosporins - oral agents	Other
Drug Development	Chronology: Antiinfectives	Aminoglycosides	Other
Drug Development	Chronology: Antiinfectives	Tetracyclines	Other
Drug Development	Chronology: Antiinfectives	Macrolides and ketolides	Other
Drug Development	Chronology: Antiinfectives	Quinolones	Other
Drug Development	Chronology: Antiinfectives	Rifamycins	Other
Drug Development	Chronology: Antiinfectives	Antifungal agents	Other
Drug Development	Chronology: Antiinfectives	Antivirals	Other
Drug Development	Chronology: Antiinfectives	Anti-HIV agents	Other
Drug Development	Chronology: Antineoplastics	Hypnotics	Other
Drug Development	Chronology: Other drugs	Anxiolytics	Other
Drug Development	Chronology: Other drugs	Anticonvulsants	Other
Drug Development	Chronology: Other drugs	Local analgesics	Other
Drug Development	Chronology: Other drugs	Opioid analgesics	Other
Drug Development	Chronology: Other drugs	Antipsychotics	Other
Drug Development	Chronology: Other drugs	Phenothiazines	Other
Drug Development	Chronology: Other drugs	Butyrophenones	Other
Drug Development	Chronology: Other drugs	Antidepressants	Other
Drug Development	Chronology: Other drugs	Agents for Alzheimer-type dementia	Other
Drug Development	Chronology: Other drugs	Antiparkinsonian agents	Other
Drug Development	Target-based classification: G protein-coupled receptors	Cholinergic and anticholinergic drugs	Other
Drug Development	Target-based classification: G protein-coupled receptors	alpha-Adrenergic receptor agonists/antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	beta-Adrenergic receptor agonists/antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	Dopamine receptor agonists/antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	Histamine H1 receptor antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	Histamine H2/H3 receptor agonists/antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	Serotonin receptor agonists/antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	Eicosanoid receptor agonists/antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	Opioid receptor agonists/antagonists	Other
Drug Development	Target-based classification: G protein-coupled receptors	Angiotensin receptor and endothelin receptor antagonists	Other
Drug Development	Target-based classification: Nuclear receptors	Glucocorticoid and meneralocorticoid receptor agonists/antagonists	Other
Drug Development	Target-based classification: Nuclear receptors	Progesterone, androgen and estrogen receptor agonists/antagonists	Other
Drug Development	Target-based classification: Nuclear receptors	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists	Other
Drug Development	Target-based classification: Nuclear receptors	Peroxisome proliferator-activated receptor (PPAR) agonists	Other
Drug Development	Target-based classification: Ion channels	Nicotinic cholinergic receptor antagonists	Other
Drug Development	Target-based classification: Ion channels	GABA-A receptor agonists/antagonists	Other
Drug Development	Target-based classification: Ion channels	Calcium channel blocking drugs	Other
Drug Development	Target-based classification: Ion channels	Sodium channel blocking drugs	Other
Drug Development	Target-based classification: Ion channels	Potassium channel blocking and opening drugs	Other
Drug Development	Target-based classification: Ion channels	N-Metyl-D-aspartic acid receptor antagonists	Other
Drug Development	Target-based classification: Transporters	Ion transporter inhibitors	Other
Drug Development	Target-based classification: Transporters	Neurotransmitter transporter inhibitors	Other
Drug Development	Target-based classification: Enzymes	Catecholamine transferase inhibitors	Other
Drug Development	Target-based classification: Enzymes	Cyclooxygenase inhibitors	Other
Drug Development	Target-based classification: Enzymes	HMG-CoA reductase inhibitors	Other
Drug Development	Target-based classification: Enzymes	Renin-angiotensin system inhibitors	Other
Drug Development	Target-based classification: Enzymes	HIV protease inhibitors	Other
Drug Development	Structure-based classification	Quinolines	Other
Drug Development	Structure-based classification	Eicosanoids	Other
Drug Development	Structure-based classification	Prostaglandins	Other
Drug Development	Skeleton-based classification	Benzoic acid family	Other
Drug Development	Skeleton-based classification	1,2-Diphenyl substitution family	Other
Drug Development	Skeleton-based classification	Naphthalene family	Other
Drug Development	Skeleton-based classification	Benzodiazepine family	Other
